ID_PRUEBA,C,F,T_TOTAL,T_POR_ACCESO
1,4,768,42028.000000,5.472396
1,4,2304,136506.000000,5.924740
1,4,8192,933535.000000,11.395691
1,4,24576,4274506.000000,17.393009
1,4,98304,27828622.000000,28.308738
1,4,147456,33998882.000000,23.056968
1,4,393216,185182492.000000,47.094343
1,4,786432,347872884.000000,44.234325
1,8,384,21110.000000,5.497396
1,8,1152,77416.000000,6.720139
1,8,4096,610816.000000,14.912500
1,8,12288,1389203.000000,11.305363
1,8,49152,8428958.000000,17.148759
1,8,73728,17942181.000000,24.335640
1,8,196608,60315409.000000,30.678003
1,8,393216,166441182.000000,42.328181
1,20,153,8756.000000,5.722876
1,20,460,30494.000000,6.629130
1,20,1638,92940.000000,5.673993
1,20,4915,397463.000000,8.086734
1,20,19660,2321222.000000,11.806826
1,20,29491,6652327.000000,22.557143
1,20,78643,37431559.000000,47.596810
1,20,157286,35469073.000000,22.550687
1,40,76,4188.000000,5.510526
1,40,230,12652.000000,5.500870
1,40,819,52548.000000,6.416117
1,40,2457,183920.000000,7.485551
1,40,9830,931758.000000,9.478718
1,40,14745,3914846.000000,26.550329
1,40,39321,8913991.000000,22.669797
1,40,78643,22728047.000000,28.900280
2,4,768,41978.000000,5.465885
2,4,2304,206634.000000,8.968490
2,4,8192,668328.000000,8.158301
2,4,24576,2008989.000000,8.174597
2,4,98304,19520407.000000,19.857185
2,4,147456,38557753.000000,26.148650
2,4,393216,165219837.000000,42.017577
2,4,786432,359135886.000000,45.666489
2,8,384,20992.000000,5.466667
2,8,1152,98852.000000,8.580903
2,8,4096,267252.000000,6.524707
2,8,12288,1091143.000000,8.879744
2,8,49152,14492592.000000,29.485254
2,8,73728,16624470.000000,22.548381
2,8,196608,44193329.000000,22.477890
2,8,393216,164259512.000000,41.773354
2,20,153,9696.000000,6.337255
2,20,460,27464.000000,5.970435
2,20,1638,124211.000000,7.583089
2,20,4915,359952.000000,7.323540
2,20,19660,2491385.000000,12.672355
2,20,29491,4002446.000000,13.571754
2,20,78643,20107128.000000,25.567600
2,20,157286,56633758.000000,36.006865
2,40,76,4186.000000,5.507895
2,40,230,14594.000000,6.345217
2,40,819,71570.000000,8.738706
2,40,2457,173723.000000,7.070533
2,40,9830,1017186.000000,10.347772
2,40,14745,2511636.000000,17.033815
2,40,39321,8744067.000000,22.237652
2,40,78643,22376606.000000,28.453398
3,4,768,44204.000000,5.755729
3,4,2304,129234.000000,5.609115
3,4,8192,503084.000000,6.141162
3,4,24576,3574136.000000,14.543197
3,4,98304,19985548.000000,20.330351
3,4,147456,46349749.000000,31.432935
3,4,393216,156305567.000000,39.750561
3,4,786432,345879258.000000,43.980822
3,8,384,21060.000000,5.484375
3,8,1152,63324.000000,5.496875
3,8,4096,294083.000000,7.179761
3,8,12288,1248939.000000,10.163892
3,8,49152,4954022.000000,10.078984
3,8,73728,19171829.000000,26.003457
3,8,196608,56345211.000000,28.658656
3,8,393216,149537963.000000,38.029471
3,20,153,8432.000000,5.511111
3,20,460,25632.000000,5.572174
3,20,1638,139175.000000,8.496642
3,20,4915,373128.000000,7.591617
3,20,19660,3030961.000000,15.416892
3,20,29491,8677577.000000,29.424492
3,20,78643,23505326.000000,29.888644
3,20,157286,56216593.000000,35.741638
3,40,76,4314.000000,5.676316
3,40,230,12688.000000,5.516522
3,40,819,52872.000000,6.455678
3,40,2457,871101.000000,35.453846
3,40,9830,994460.000000,10.116582
3,40,14745,7842861.000000,53.189969
3,40,39321,7699032.000000,19.579950
3,40,78643,24359942.000000,30.975347
4,4,768,42070.000000,5.477865
4,4,2304,127288.000000,5.524653
4,4,8192,2134406.000000,26.054761
4,4,24576,2840348.000000,11.557406
4,4,98304,20822140.000000,21.181376
4,4,147456,47956553.000000,32.522619
4,4,393216,154548274.000000,39.303659
4,4,786432,348325566.000000,44.291886
4,8,384,20978.000000,5.463021
4,8,1152,67752.000000,5.881250
