ID_PRUEBA,C,F,L,T_TOTAL,T_POR_ACCESO
1,4,768,384,47166.000000,6.141406
1,4,2304,1152,130534.000000,5.665538
1,4,8192,4096,377431.000000,4.607312
1,4,24576,12288,1622893.000000,6.603569
1,4,98304,49152,22760861.000000,23.153545
1,4,147456,73728,30014259.000000,20.354722
1,4,393216,196608,95100501.000000,24.185308
1,4,786432,393216,165939193.000000,21.100260
1,8,384,384,21522.000000,5.604687
1,8,1152,1152,74546.000000,6.471007
1,8,4096,4096,288132.000000,7.034473
1,8,12288,12288,925116.000000,7.528613
1,8,49152,49152,1502674.000000,3.057198
1,8,73728,73728,29379513.000000,39.848515
1,8,196608,196608,64332614.000000,32.721260
1,8,393216,393216,114872956.000000,29.213703
1,20,153,384,25560.000000,16.705882
1,20,460,1152,77478.000000,16.843043
1,20,1638,4096,252612.000000,15.421978
1,20,4915,12288,1053799.000000,21.440468
1,20,19660,49152,4647403.000000,23.638876
1,20,29491,73728,15896590.000000,53.903191
1,20,78643,196608,37784919.000000,48.046131
1,20,157286,393216,84642969.000000,53.814687
1,40,76,384,21124.000000,27.794737
1,40,230,1152,64028.000000,27.838261
1,40,819,4096,232164.000000,28.347253
1,40,2457,12288,16088501.000000,654.802646
1,40,9830,49152,20953018.000000,213.153795
1,40,14745,73728,7297325.000000,49.490166
1,40,39321,196608,30012621.000000,76.327207
1,40,78643,393216,85365162.000000,108.547693
2,4,768,384,46482.000000,6.052344
2,4,2304,1152,141774.000000,6.153385
2,4,8192,4096,451814.000000,5.515308
2,4,24576,12288,900964.000000,3.666032
2,4,98304,49152,36482228.000000,37.111641
2,4,147456,73728,27526764.000000,18.667782
2,4,393216,196608,70748319.000000,17.992228
2,4,786432,393216,159126908.000000,20.234033
2,8,384,384,21368.000000,5.564583
2,8,1152,1152,80548.000000,6.992014
2,8,4096,4096,312064.000000,7.618750
2,8,12288,12288,946128.000000,7.699609
2,8,49152,49152,15814107.000000,32.173883
2,8,73728,73728,35171753.000000,47.704743
2,8,196608,196608,56109427.000000,28.538730
2,8,393216,393216,126739653.000000,32.231561
2,20,153,384,25422.000000,16.615686
2,20,460,1152,77194.000000,16.781304
2,20,1638,4096,288322.000000,17.602076
2,20,4915,12288,893944.000000,18.188077
2,20,19660,49152,6330782.000000,32.201333
2,20,29491,73728,26779290.000000,90.804957
2,20,78643,196608,46992201.000000,59.753826
2,20,157286,393216,80217669.000000,51.001150
2,40,76,384,21164.000000,27.847368
2,40,230,1152,64366.000000,27.985217
2,40,819,4096,232262.000000,28.359219
2,40,2457,12288,853163.000000,34.723769
2,40,9830,49152,17277694.000000,175.764944
2,40,14745,73728,19990457.000000,135.574479
2,40,39321,196608,46428832.000000,118.076427
2,40,78643,393216,79365798.000000,100.919088
3,4,768,384,46304.000000,6.029167
3,4,2304,1152,143096.000000,6.210764
3,4,8192,4096,1087275.000000,13.272400
3,4,24576,12288,1664239.000000,6.771806
3,4,98304,49152,27120366.000000,27.588263
3,4,147456,73728,17486618.000000,11.858872
3,4,393216,196608,67655576.000000,17.205703
3,4,786432,393216,121937527.000000,15.505158
3,8,384,384,23294.000000,6.066146
3,8,1152,1152,74256.000000,6.445833
3,8,4096,4096,270682.000000,6.608447
3,8,12288,12288,969952.000000,7.893490
3,8,49152,49152,15160996.000000,30.845125
3,8,73728,73728,23749966.000000,32.212953
3,8,196608,196608,37990256.000000,19.322843
3,8,393216,393216,117712014.000000,29.935713
3,20,153,384,25456.000000,16.637908
3,20,460,1152,77496.000000,16.846957
3,20,1638,4096,301588.000000,18.411966
3,20,4915,12288,1136163.000000,23.116236
3,20,19660,49152,3854048.000000,19.603499
3,20,29491,73728,32543710.000000,110.351328
3,20,78643,196608,37318768.000000,47.453388
3,20,157286,393216,101470222.000000,64.513194
3,40,76,384,21320.000000,28.052632
3,40,230,1152,64862.000000,28.200870
3,40,819,4096,236444.000000,28.869841
3,40,2457,12288,2543274.000000,103.511355
3,40,9830,49152,17024301.000000,173.187192
3,40,14745,73728,22906212.000000,155.349013
3,40,39321,196608,50269026.000000,127.842695
3,40,78643,393216,75414220.000000,95.894383
4,4,768,384,42530.000000,5.537760
4,4,2304,1152,142118.000000,6.168316
4,4,8192,4096,459296.000000,5.606641
4,4,24576,12288,1730465.000000,7.041280
4,4,98304,49152,15983047.000000,16.258796
4,4,147456,73728,27353843.000000,18.550512
4,4,393216,196608,53004365.000000,13.479707
4,4,786432,393216,151712248.000000,19.291210
4,8,384,384,23252.000000,6.055208
4,8,1152,1152,74300.000000,6.449653
4,8,4096,4096,241776.000000,5.902734
4,8,12288,12288,931643.000000,7.581730
4,8,49152,49152,4951274.000000,10.073393
4,8,73728,73728,30704040.000000,41.645020
4,8,196608,196608,53656324.000000,27.291018
4,8,393216,393216,116614609.000000,29.656629
4,20,153,384,23472.000000,15.341176
4,20,460,1152,77440.000000,16.834783
4,20,1638,4096,289582.000000,17.678999
4,20,4915,12288,879889.000000,17.902116
4,20,19660,49152,15058625.000000,76.595244
4,20,29491,73728,24637978.000000,83.544058
4,20,78643,196608,39455619.000000,50.170542
4,20,157286,393216,102050435.000000,64.882084
4,40,76,384,21268.000000,27.984211
4,40,230,1152,64458.000000,28.025217
4,40,819,4096,229032.000000,27.964835
4,40,2457,12288,741622.000000,30.184046
4,40,9830,49152,3394273.000000,34.529736
4,40,14745,73728,26515247.000000,179.825344
4,40,39321,196608,39293601.000000,99.930320
4,40,78643,393216,80729845.000000,102.653567
5,4,768,384,46104.000000,6.003125
5,4,2304,1152,142226.000000,6.173003
5,4,8192,4096,521010.000000,6.359985
5,4,24576,12288,1604620.000000,6.529215
5,4,98304,49152,33369247.000000,33.944953
5,4,147456,73728,34723871.000000,23.548632
5,4,393216,196608,66017149.000000,16.789029
5,4,786432,393216,154807523.000000,19.684794
5,8,384,384,39776.000000,10.358333
5,8,1152,1152,74126.000000,6.434549
5,8,4096,4096,236374.000000,5.770850
5,8,12288,12288,973877.000000,7.925431
5,8,49152,49152,21228000.000000,43.188477
5,8,73728,73728,9957516.000000,13.505745
5,8,196608,196608,54260996.000000,27.598570
5,8,393216,393216,89971006.000000,22.880810
5,20,153,384,43760.000000,28.601307
5,20,460,1152,93285.000000,20.279348
5,20,1638,4096,307405.000000,18.767094
5,20,4915,12288,818250.000000,16.648016
5,20,19660,49152,6722716.000000,34.194893
5,20,29491,73728,30094471.000000,102.046289
5,20,78643,196608,45419886.000000,57.754519
5,20,157286,393216,86856411.000000,55.221959
5,40,76,384,42232.000000,55.568421
5,40,230,1152,64394.000000,27.997391
5,40,819,4096,233940.000000,28.564103
5,40,2457,12288,795651.000000,32.383028
5,40,9830,49152,3965784.000000,40.343683
5,40,14745,73728,14558139.000000,98.732716
5,40,39321,196608,36424890.000000,92.634699
5,40,78643,393216,72205909.000000,91.814795
6,4,768,384,46248.000000,6.021875
6,4,2304,1152,143634.000000,6.234115
6,4,8192,4096,19824404.000000,241.997119
6,4,24576,12288,9135494.000000,37.172420
6,4,98304,49152,24453548.000000,24.875435
6,4,147456,73728,20650223.000000,14.004329
6,4,393216,196608,76378152.000000,19.423969
6,4,786432,393216,131791189.000000,16.758116
6,8,384,384,23146.000000,6.027604
6,8,1152,1152,76917.000000,6.676823
6,8,4096,4096,289588.000000,7.070020
6,8,12288,12288,9297733.000000,75.665145
6,8,49152,49152,18252506.000000,37.134819
6,8,73728,73728,31423082.000000,42.620283
6,8,196608,196608,46107111.000000,23.451289
6,8,393216,393216,112136785.000000,28.517859
6,20,153,384,22262.000000,14.550327
6,20,460,1152,77336.000000,16.812174
6,20,1638,4096,283872.000000,17.330403
6,20,4915,12288,914873.000000,18.613896
6,20,19660,49152,10669878.000000,54.272014
6,20,29491,73728,16763669.000000,56.843339
6,20,78643,196608,57157985.000000,72.680321
6,20,157286,393216,105695639.000000,67.199648
6,40,76,384,21160.000000,27.842105
6,40,230,1152,64362.000000,27.983478
6,40,819,4096,200876.000000,24.526984
6,40,2457,12288,811198.000000,33.015792
6,40,9830,49152,15520624.000000,157.890376
6,40,14745,73728,30754689.000000,208.577070
6,40,39321,196608,50152399.000000,127.546092
6,40,78643,393216,96504557.000000,122.712202
7,4,768,384,46262.000000,6.023698
