ID_PRUEBA,C,F,L,T_TOTAL,T_POR_ACCESO
1,4,768,384,48166.000000,6.271615
1,4,2304,1152,203946.000000,8.851823
1,4,8192,4096,1649059.000000,20.130115
1,4,24576,12288,3556032.000000,14.469531
1,4,98304,49152,15504647.000000,15.772143
1,4,147456,73728,15423643.000000,10.459827
1,4,393216,196608,42192135.000000,10.730015
1,4,786432,393216,77924961.000000,9.908671
1,8,384,384,23436.000000,6.103125
1,8,1152,1152,73994.000000,6.423090
1,8,4096,4096,273510.000000,6.677490
1,8,12288,12288,6408.000000,0.052148
1,8,49152,49152,4995986.000000,10.164360
1,8,73728,73728,9187727.000000,12.461652
1,8,196608,196608,25666831.000000,13.054825
1,8,393216,393216,39834257.000000,10.130375
1,20,153,384,25436.000000,5.541612
1,20,460,1152,77202.000000,5.594348
1,20,1638,4096,277588.000000,5.648921
1,20,4915,12288,920524.000000,6.242957
1,20,19660,49152,7480831.000000,12.683674
1,20,29491,73728,9126640.000000,10.315735
1,20,78643,196608,23172621.000000,9.821862
1,20,157286,393216,31030995.000000,6.576342
1,40,76,384,18334.000000,4.824737
1,40,230,1152,64122.000000,5.575826
1,40,819,4096,229268.000000,5.598730
1,40,2457,12288,748246.000000,6.090729
1,40,9830,49152,5972175.000000,12.150916
1,40,14745,73728,6588423.000000,8.936484
1,40,39321,196608,21495050.000000,10.933115
1,40,78643,393216,47576573.000000,12.099379
2,4,768,384,42694.000000,5.559115
2,4,2304,1152,149024.000000,6.468056
2,4,8192,4096,515122.000000,6.288110
2,4,24576,12288,1737541.000000,7.070072
2,4,98304,49152,9298277.000000,9.458696
2,4,147456,73728,12354895.000000,8.378699
2,4,393216,196608,50110114.000000,12.743661
2,4,786432,393216,71828520.000000,9.133469
2,8,384,384,20326.000000,5.293229
2,8,1152,1152,74708.000000,6.485069
2,8,4096,4096,268090.000000,6.545166
2,8,12288,12288,939257.000000,7.643693
2,8,49152,49152,7160099.000000,14.567259
2,8,73728,73728,15736495.000000,21.343987
2,8,196608,196608,21516099.000000,10.943654
2,8,393216,393216,50513556.000000,12.846262
2,20,153,384,25444.000000,5.543355
2,20,460,1152,77372.000000,5.606667
2,20,1638,4096,276908.000000,5.635083
2,20,4915,12288,998634.000000,6.772696
2,20,19660,49152,5801629.000000,9.836604
2,20,29491,73728,9190864.000000,10.388326
2,20,78643,196608,7616253.000000,3.228197
2,20,157286,393216,44582468.000000,9.448281
2,40,76,384,19524.000000,5.137895
2,40,230,1152,78045.000000,6.786522
2,40,819,4096,232548.000000,5.678828
2,40,2457,12288,760136.000000,6.187513
2,40,9830,49152,6284973.000000,12.787331
2,40,14745,73728,8702041.000000,11.803379
2,40,39321,196608,22578697.000000,11.484294
2,40,78643,393216,40651622.000000,10.338268
3,4,768,384,42954.000000,5.592969
3,4,2304,1152,134068.000000,5.818924
3,4,8192,4096,569427.000000,6.951013
3,4,24576,12288,1723440.000000,7.012695
3,4,98304,49152,10950367.000000,11.139289
3,4,147456,73728,19333597.000000,13.111435
3,4,393216,196608,40082583.000000,10.193528
3,4,786432,393216,75756193.000000,9.632898
3,8,384,384,20248.000000,5.272917
3,8,1152,1152,78668.000000,6.828819
3,8,4096,4096,269372.000000,6.576465
3,8,12288,12288,1253568.000000,10.201562
3,8,49152,49152,6049824.000000,12.308398
3,8,73728,73728,11132763.000000,15.099776
3,8,196608,196608,31518942.000000,16.031363
3,8,393216,393216,52693786.000000,13.400723
3,20,153,384,26798.000000,5.838344
3,20,460,1152,77260.000000,5.598551
3,20,1638,4096,275062.000000,5.597517
3,20,4915,12288,881554.000000,5.978664
3,20,19660,49152,7318498.000000,12.408440
3,20,29491,73728,10197918.000000,11.526588
3,20,78643,196608,23119438.000000,9.799320
3,20,157286,393216,40179941.000000,8.515261
3,40,76,384,19670.000000,5.176316
3,40,230,1152,71704.000000,6.235130
3,40,819,4096,237778.000000,5.806545
3,40,2457,12288,744785.000000,6.062556
3,40,9830,49152,10214104.000000,20.781493
3,40,14745,73728,7192762.000000,9.756205
3,40,39321,196608,19603461.000000,9.970988
3,40,78643,393216,33698606.000000,8.570020
4,4,768,384,43152.000000,5.618750
4,4,2304,1152,158272.000000,6.869444
4,4,8192,4096,544833.000000,6.650793
4,4,24576,12288,1639983.000000,6.673108
4,4,98304,49152,10195730.000000,10.371633
4,4,147456,73728,15637791.000000,10.605056
4,4,393216,196608,36834207.000000,9.367423
4,4,786432,393216,63104896.000000,8.024202
4,8,384,384,23144.000000,6.027083
4,8,1152,1152,74088.000000,6.431250
4,8,4096,4096,323322.000000,7.893604
4,8,12288,12288,1325292.000000,10.785254
4,8,49152,49152,6535622.000000,13.296757
4,8,73728,73728,11494292.000000,15.590131
4,8,196608,196608,24413062.000000,12.417125
