ID_PRUEBA,C,F,L,T_TOTAL,T_POR_ACCESO
1,4,768,384,41984.000000,5.466667
1,4,2304,1152,127456.000000,5.531944
1,4,8192,4096,563205.000000,6.875061
1,4,24576,12288,2280123.000000,9.277844
1,4,98304,49152,23625413.000000,24.033013
1,4,147456,73728,38650945.000000,26.211850
1,4,393216,196608,150346955.000000,38.235208
1,4,786432,393216,331656693.000000,42.172329
1,8,384,384,26830.000000,6.986979
1,8,1152,1152,75358.000000,6.541493
1,8,4096,4096,245346.000000,5.989893
1,8,12288,12288,723266.000000,5.885954
1,8,49152,49152,8423195.000000,17.137034
1,8,73728,73728,15911862.000000,21.581844
1,8,196608,196608,64804456.000000,32.961251
1,8,393216,393216,154104925.000000,39.190909
1,20,153,384,7694.000000,5.028758
1,20,460,1152,34226.000000,7.440435
1,20,1638,4096,119493.000000,7.295055
1,20,4915,12288,352163.000000,7.165066
1,20,19660,49152,5930069.000000,30.163118
1,20,29491,73728,5089771.000000,17.258726
1,20,78643,196608,18890149.000000,24.020128
1,20,157286,393216,62220051.000000,39.558544
1,40,76,384,3626.000000,4.771053
1,40,230,1152,11704.000000,5.088696
1,40,819,4096,63458.000000,7.748230
1,40,2457,12288,270284.000000,11.000570
1,40,9830,49152,5663148.000000,57.610865
1,40,14745,73728,1919403.000000,13.017314
1,40,39321,196608,7079869.000000,18.005313
1,40,78643,393216,22663130.000000,28.817733
2,4,768,384,36552.000000,4.759375
2,4,2304,1152,197328.000000,8.564583
2,4,8192,4096,492844.000000,6.016162
2,4,24576,12288,1595436.000000,6.491846
2,4,98304,49152,25948158.000000,26.395831
2,4,147456,73728,39491391.000000,26.781814
2,4,393216,196608,147464163.000000,37.502076
2,4,786432,393216,335121496.000000,42.612902
2,8,384,384,50701.000000,13.203385
2,8,1152,1152,63106.000000,5.477951
2,8,4096,4096,256668.000000,6.266309
2,8,12288,12288,968777.000000,7.883927
2,8,49152,49152,8938849.000000,18.186135
2,8,73728,73728,18617779.000000,25.251979
2,8,196608,196608,56522005.000000,28.748578
2,8,393216,393216,175768640.000000,44.700277
2,20,153,384,8518.000000,5.567320
2,20,460,1152,29496.000000,6.412174
2,20,1638,4096,104252.000000,6.364591
2,20,4915,12288,361171.000000,7.348342
2,20,19660,49152,2194788.000000,11.163723
2,20,29491,73728,3976978.000000,13.485396
2,20,78643,196608,16484859.000000,20.961635
2,20,157286,393216,44929970.000000,28.565778
2,40,76,384,4074.000000,5.360526
2,40,230,1152,12666.000000,5.506957
2,40,819,4096,46032.000000,5.620513
2,40,2457,12288,166051.000000,6.758282
2,40,9830,49152,970012.000000,9.867874
2,40,14745,73728,1574202.000000,10.676175
2,40,39321,196608,6014078.000000,15.294825
2,40,78643,393216,16538446.000000,21.029775
3,4,768,384,38714.000000,5.040885
3,4,2304,1152,147000.000000,6.380208
3,4,8192,4096,683532.000000,8.343896
3,4,24576,12288,3273468.000000,13.319775
3,4,98304,49152,28570612.000000,29.063529
3,4,147456,73728,39363617.000000,26.695161
3,4,393216,196608,147698531.000000,37.561679
3,4,786432,393216,325846123.000000,41.433477
3,8,384,384,19232.000000,5.008333
3,8,1152,1152,66270.000000,5.752604
3,8,4096,4096,248662.000000,6.070850
3,8,12288,12288,1530865.000000,12.458211
3,8,49152,49152,9899553.000000,20.140692
3,8,73728,73728,29459951.000000,39.957616
